epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4693.86,0.2484,0.40342,0.33218,0.963,0.98601,0.9692,0.98954,0.97607,0.97864,0.97725,0.98888,0.97929,0.19875,0.21275,0.20119,0.86301,0.000148791,0.000148791,0.000148791
45,4805.3,0.2537,0.40445,0.33441,0.96286,0.98886,0.97127,0.98931,0.97742,0.98886,0.97127,0.98812,0.97871,0.18096,0.22006,0.19595,0.84798,0.000133637,0.000133637,0.000133637
46,4918.33,0.24024,0.38761,0.32147,0.95712,0.9709,0.97694,0.99007,0.97823,0.9804,0.96535,0.98861,0.97943,0.17622,0.22212,0.18047,0.84437,0.000119181,0.000119181,0.000119181
47,5030.54,0.24181,0.3934,0.31621,0.95539,0.9875,0.97447,0.98975,0.97858,0.98653,0.97362,0.98925,0.98032,0.17746,0.21934,0.18103,0.84711,0.000105463,0.000105463,0.000105463
48,5140.69,0.24007,0.39799,0.31052,0.95543,0.98802,0.97598,0.99057,0.97958,0.98709,0.97512,0.98893,0.98025,0.16635,0.21983,0.17005,0.8372,9.25205e-05,9.25205e-05,9.25205e-05
49,5252.76,0.246,0.38828,0.31883,0.95328,0.98302,0.97707,0.98999,0.97934,0.98339,0.97784,0.98992,0.97949,0.16578,0.22055,0.16641,0.83671,8.03886e-05,8.03886e-05,8.03886e-05
50,5366.12,0.23404,0.36405,0.30345,0.94898,0.99225,0.97193,0.99024,0.97984,0.99238,0.97099,0.98929,0.98031,0.16426,0.22293,0.16382,0.83724,6.91009e-05,6.91009e-05,6.91009e-05
51,5477.44,0.11193,0.16525,0.12604,0.90609,0.98938,0.97226,0.99011,0.97732,0.99039,0.9689,0.98753,0.97878,0.17662,0.21736,0.16907,0.84272,5.86881e-05,5.86881e-05,5.86881e-05
52,5584.97,0.11117,0.15717,0.12387,0.90982,0.99012,0.97278,0.99083,0.97866,0.99196,0.96966,0.98919,0.9806,0.16448,0.21427,0.16591,0.83355,4.91789e-05,4.91789e-05,4.91789e-05
53,5693.03,0.10465,0.15339,0.11519,0.9082,0.98937,0.96976,0.99017,0.98007,0.98171,0.97355,0.98913,0.98043,0.16023,0.21537,0.16714,0.82904,4.05994e-05,4.05994e-05,4.05994e-05
54,5798,0.10272,0.16252,0.1113,0.90394,0.98666,0.9744,0.98954,0.97889,0.98439,0.97325,0.98887,0.97956,0.16067,0.22134,0.16903,0.8313,3.29729e-05,3.29729e-05,3.29729e-05
55,5901.92,0.1009,0.15235,0.10559,0.90367,0.99055,0.97018,0.98957,0.97925,0.98493,0.97267,0.9887,0.9806,0.15863,0.22172,0.16556,0.82488,2.63206e-05,2.63206e-05,2.63206e-05
56,6009.81,0.09859,0.15226,0.1054,0.89761,0.98426,0.97589,0.9897,0.97949,0.98335,0.97503,0.98861,0.98073,0.15775,0.21686,0.16638,0.82501,2.06605e-05,2.06605e-05,2.06605e-05
57,6113.99,0.09852,0.15155,0.10529,0.89475,0.98688,0.9748,0.98951,0.97941,0.98344,0.9769,0.98858,0.98024,0.15539,0.22253,0.16017,0.82508,1.60082e-05,1.60082e-05,1.60082e-05
58,6218.3,0.09905,0.1567,0.09863,0.90226,0.98563,0.97734,0.98947,0.97943,0.98291,0.9763,0.9888,0.98036,0.15532,0.22464,0.15746,0.82742,1.23765e-05,1.23765e-05,1.23765e-05
59,6323.3,0.09877,0.1539,0.10433,0.91082,0.9849,0.97799,0.98983,0.98024,0.98358,0.97858,0.98892,0.98085,0.15348,0.22066,0.15546,0.82562,9.77527e-06,9.77527e-06,9.77527e-06
60,6428.47,0.09734,0.15374,0.10106,0.89832,0.98889,0.97484,0.99046,0.98035,0.98368,0.97762,0.98912,0.98072,0.15306,0.22175,0.15209,0.82558,8.21167e-06,8.21167e-06,8.21167e-06
